time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-01-04T18:57:24.670Z,62.8532,-150.4362,81,1.5,ml,,,,0.42,ak,ak0146x7gkz,2019-05-20T22:46:39.625Z,"43 km NNE of Petersville, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2014-01-04T18:49:50.800Z,18.8209,-67.1505,9,3.2,Md,21,223.2,0.35213959,0.28,pr,pr14004007,2014-03-07T00:25:58.000Z,"36 km N of San Antonio, Puerto Rico",earthquake,0.8,1,0,13,reviewed,pr,pr
2014-01-04T18:49:48.720Z,37.4598333,-118.7558333,3.06,0.89,md,17,143,0.109,0.03,nc,nc72136166,2017-02-02T19:50:52.641Z,"11 km SSW of Aspen Springs, California",earthquake,0.92,2.31,0.17,14,reviewed,nc,nc
2014-01-04T18:48:15.760Z,38.8269997,-122.7979965,2.426,0.51,md,9,94,0.01261,0.03,nc,nc72136161,2017-02-02T19:50:46.428Z,"6 km W of Cobb, California",earthquake,0.32,0.57,0.04,3,automatic,nc,nc
2014-01-04T18:41:28.030Z,38.8133316,-122.8408356,2.837,,,4,297,0.00991,0.03,nc,nc72136156,2017-02-02T19:50:40.098Z,"10 km W of Cobb, California",earthquake,4.42,5.38,,,automatic,nc,nc
2014-01-04T18:39:14.530Z,34.032,-116.3138333,8.26,0.85,ml,21,65,0.07333,0.11,ci,ci11410090,2016-03-11T22:32:21.962Z,"11km S of Joshua Tree, CA",earthquake,0.27,0.62,0.055,6,reviewed,ci,ci
2014-01-04T18:36:04.650Z,38.8250008,-122.800499,2.764,0.3,md,6,92,0.008108,0.02,nc,nc72136151,2017-02-02T19:50:31.163Z,"6 km W of Cobb, California",earthquake,0.49,0.83,0.21,3,automatic,nc,nc
2014-01-04T18:32:15.187Z,39.4267,-120.289,9.4,-0.7,ml,3,218.62,0.008,0.0489,nn,nn00433336,2018-06-29T22:59:53.528Z,"13 km NE of Soda Springs, California",earthquake,,5.6,0,1,reviewed,nn,nn
2014-01-04T18:30:25.680Z,38.793335,-122.7440033,0.699,0.48,md,5,127,0.01171,0.01,nc,nc72136146,2017-02-02T19:50:22.739Z,"3 km SSW of Cobb, California",earthquake,0.47,1.49,,1,automatic,nc,nc
2014-01-04T18:18:16.080Z,38.8095016,-122.82267,1.66,1.06,md,14,109,0.005405,0.05,nc,nc72136141,2017-02-02T19:50:15.479Z,"8 km W of Cobb, California",earthquake,0.29,0.41,0.06,4,automatic,nc,nc
2014-01-04T18:13:09.420Z,37.6343333,-119.0758333,12.502,0.39,md,8,140,0.003604,0.06,nc,nc72137556,2017-02-02T19:50:06.672Z,"9 km W of Mammoth Lakes, California",earthquake,1.03,0.48,0.171,7,reviewed,nc,nc
2014-01-04T18:12:54.800Z,49.4283333,-120.5316667,-0.54,2.34,md,14,210,0.6084,0.39,uw,uw60663947,2016-07-22T19:22:03.510Z,"3 km SSW of Princeton, Canada",explosion,2.98,31.61,0.141,11,reviewed,uw,uw
2014-01-04T18:12:20.390Z,33.7316,141.3232,33.98,4.7,mb,,64,1.404,0.84,us,usc000lww7,2014-03-07T00:25:58.000Z,"182 km SSE of Katsuura, Japan",earthquake,,4.9,0.092,39,reviewed,us,us
